PLAYER,TEAM_x,role,RUNS,SR,AVG_x,WICKETS,ECO,batting_cluster,batting_impact_score,expected_runs,value_tag
Aarya Desai,Gujarat,Batsman,287,146.43,0,,,2,158.729,207.1984275,Average Buy
Abdul Samad,Jammu and Kashmir,Batsman,139,151.09,0,,,0,100.927,209.6344949,Average Buy
Abhijeet Tomar,Rajasthan,Batsman,188,151.61,0,,,0,120.683,209.9063307,Average Buy
Abhishek Sharma,Punjab,All-Rounder,255,216.1,0,,,2,166.83,243.6192033,Average Buy
Abid Mushtaq,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Abishek Porel,Bengal,Batsman,335,158.77,0,,,2,181.631,251.2014033,Average Buy
Aditya Tare,Uttarakhand,Batsman,180,150,0,,,0,117,209.0646851,Average Buy
Agni Chopra,Mizoram,Batsman,205,125,0,,,0,119.5,195.9956541,Average Buy
Ajay Dev Goud,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Ajay Mandal,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Ajay Rohera,Puducherry,Batsman,200,162.6,0,,,0,128.78,196.8754258,Average Buy
Ajinkya Rahane,Mumbai,Batsman,469,164.56,0,,,2,236.968,254.2281909,Average Buy
Ajoy Sarkar,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Akash Kargave,Puducherry,Batsman,179,149.17,0,,,0,116.351,189.8547423,Average Buy
Akash Madhwal,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Aniket Choudhary,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Ankit Kumar,Haryana,Batsman,164,125.19,0,,,0,103.157,196.0949787,Average Buy
Ankur Panwar,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Anmolpreet Singh,Punjab,Batsman,178,163.3,0,,,0,120.19,197.2413586,Average Buy
Anshul Kamboj,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Anuj Rawat,Delhi,Batsman,192,141.18,0,,,0,119.154,223.229982,Average Buy
Anukul Roy,Jharkhand,All-Rounder,137,165.06,0,,,0,104.318,216.9374695,Average Buy
Apoorv Wankhade,Vidarbha,Batsman,139,175.95,0,,,0,108.385,203.8542884,Average Buy
Arpit Gaud,Madhya Pradesh,Batsman,185,125.85,0,,,0,111.755,233.9921032,Average Buy
Arpit Guleria,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Arpit Subhas,Meghalaya,Batsman,172,104.88,0,,,0,100.264,185.4776979,Average Buy
Arshad Khan,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Arshin Kulkarni,Maharashtra,Batsman,194,137.59,0,,,0,118.877,183.8011671,Average Buy
Arslan Khan,Chandigarh,Batsman,159,187.06,0,,,0,119.718,172.1100637,Average Buy
Arun Karthik,Puducherry,Batsman,191,160.5,0,,,0,124.55,195.7776272,Average Buy
Aryan Juyal,Uttar Pradesh,Batsman,220,141.94,0,,,0,130.582,242.4033316,Average Buy
Arzan Nagwaswalla,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Ashutosh Sharma,Railways,Batsman,164,167.35,0,,,0,115.805,180.5824907,Average Buy
Ashwin Hebbar,Andhra Pradesh,Batsman,168,143.59,0,,,0,110.277,205.7137856,Average Buy
Atharva Taide,Vidarbha,Batsman,189,142.11,0,,,0,118.233,186.1640479,Average Buy
Atit Sheth,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Auqib Nabi,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Avesh Khan,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Avinav Choudhury,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Axar Patel,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Ayush Badoni,Delhi,Batsman,180,132.35,0,,,0,111.705,237.3900513,Average Buy
Baba Indrajith,Tamil Nadu,Batsman,206,188.99,0,,,0,139.097,229.447146,Average Buy
Bal Krishna,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Baltej Singh,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Bhanu Pania,Baroda,Batsman,273,214.96,0,,,2,173.688,280.5753576,Average Buy
Bharat Sharma,Rajasthan,Batsman,190,149.61,0,,,0,120.883,208.8608083,Average Buy
Bhuvneshwar Kumar,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Bikramkumar Das,Tripura,Batsman,183,148.78,0,,,0,117.834,152.0987633,Average Buy
Bishworjit Singh,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Chama Milind,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Cheepurapalli Stephen,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Chetan Bist,Nagaland,Batsman,139,120.87,0,,,0,91.861,175.0605991,Average Buy
Chintan Gaja,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Chirag Jani,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Darshan Misal,Goa,Batsman,153,177.91,0,,,0,114.573,204.8789004,Average Buy
Darshan Nalkande,0,Bowler,0,0,0,,,1,0,-0.781858573,Average Buy
Deepak Hooda,Rajasthan,Batsman,177,146.28,0,,,0,114.684,207.1200133,Average Buy
